202109|2021-09-09|1680.0|349.6|1330.4202109|2021-09-11|1680.0|349.6|1330.4
200110|2021-09-17|1680.0|149.6|1530.4
200120|2021-09-17|1680.0|149.6|1530.4
200110|2021-09-17|1680.0|149.6|1530.4
200120|2021-09-17|1680.0|149.6|1530.4
201911|2021-09-17|1680.0|149.6|1530.4
201011|2021-09-17|1680.0|149.6|1530.4
200110|2021-09-17|1680.0|149.6|1530.4
202110|2021-09-18|1680.0|149.6|1530.4
202110|2021-09-18|1680.0|149.6|1530.4
202110|2021-09-18|1680.0|149.6|1530.4
202110|2021-09-18|1680.0|149.6|1530.4
