202109|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|200.0|340.25|1234.75
202109|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
200110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
200110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
200120|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
200120|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
200110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
200110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
200120|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
200120|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
201911|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
201911|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
201011|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
201011|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
200110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
200110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
202110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
202110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
202110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
202110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
202110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
202110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
202110|A1|1|1|1500.0|0|0|75.0|1575.0|140.25|0|140.25|1434.75
202110|A2|2|2|100.0|0|0|5.0|105.0|9.35|0|9.35|95.65
